PoliceDistrict,CrimeCount
NORTHEAST,6835
SOUTHEAST,6657
CENTRAL,5374
SOUTHERN,5329
SOUTHWEST,5104
NORTHERN,4888
NORTHWEST,4363
EASTERN,4080
WESTERN,3653
UNKNOWN,12
,4
622,2
212,1
