Name,Longitude,Latitude
Lauraville,-76.57930194,39.34381393
Penn North/Reservoir Hill,-76.64400046,39.31124039
Morrell Park/Violetville,-76.6784332,39.26676291
Greater Mondawmin,-76.64819607,39.30988623
Morrell Park/Violetville,-76.66059006,39.26357788
Sandtown-Winchester/Harlem Park,-76.64480656,39.30550283
Harbor East/Little Italy,-76.59848732,39.28734264
North Baltimore/Guilford/Homeland,-76.61103736,39.35432541
Penn North/Reservoir Hill,-76.64120745,39.31061691
Washington Village/Pigtown,-76.63560177,39.28113613
Canton,-76.57545937,39.28173795
Glen-Fallstaff,-76.710412,39.36129547
Oldtown/Middle East,-76.60030207,39.30063191
Greater Charles Village/Barclay,-76.61330624,39.31548735
Brooklyn/Curtis Bay/Hawkins Point,-76.61057681,39.23659657
Westport/Mount Winans/Lakeland,-76.65011178,39.25399303
Medfield/Hampden/Woodberry/Remington,-76.62043298,39.32162514
Edmondson Village,-76.68487479,39.30170662
Beechfield/Ten Hills/West Hills,-76.70710787,39.29420422
Brooklyn/Curtis Bay/Hawkins Point,-76.60230265,39.23934702
Canton,-76.58144517,39.28498404
Downtown/Seton Hill,-76.62184102,39.29737111
Howard Park/West Arlington,-76.69714665,39.33194412
Greater Roland Park/Poplar Hill,-76.63133075,39.34740466
Canton,-76.5736497,39.28511573
Penn North/Reservoir Hill,-76.6080833,39.31158929
Canton,-76.57924349,39.28375896
Westport/Mount Winans/Lakeland,-76.6459518,39.26134769
Downtown/Seton Hill,-76.61974249,39.29296168
Fells Point,-76.5902679,39.28132643
Greater Mondawmin,-76.65390559,39.31533217
Oldtown/Middle East,-76.60190154,39.29705849
Washington Village/Pigtown,-76.5998703,39.28848149
Belair-Edison,-76.57204483,39.32274102
North Baltimore/Guilford/Homeland,-76.61928448,39.35540357
Forest Park/Walbrook,-76.66606971,39.31295447
Upton/Druid Heights,-76.63381797,39.30150422
Greater Mondawmin,-76.65512262,39.31588246
Westport/Mount Winans/Lakeland,-76.63392612,39.262966
Sandtown-Winchester/Harlem Park,-76.63959189,39.30118229
Brooklyn/Curtis Bay/Hawkins Point,-76.5986795,39.23294211
Inner Harbor/Federal Hill,-76.61137287,39.28650652
Dickeyville/Franklintown,-76.70596444,39.30652096
Lauraville,-76.57208481,39.34730089
Medfield/Hampden/Woodberry/Remington,-76.62043298,39.32162514
Canton,-76.57539546,39.2806868
Washington Village/Pigtown,-76.63381317,39.28197407
Sandtown-Winchester/Harlem Park,-76.63814099,39.29915108
Downtown/Seton Hill,-76.62407578,39.29500567
North Baltimore/Guilford/Homeland,-76.61143964,39.33386356
Lauraville,-76.56946936,39.35321968
Brooklyn/Curtis Bay/Hawkins Point,-76.60282628,39.23899958
Brooklyn/Curtis Bay/Hawkins Point,-76.60017483,39.2403536
Greater Mondawmin,-76.65398558,39.31863125
Morrell Park/Violetville,-76.64945703,39.26502198
Penn North/Reservoir Hill,-76.64040933,39.3151512
Loch Raven,-76.58074656,39.36618267
Belair-Edison,-76.56528601,39.32431463
Glen-Fallstaff,-76.69855375,39.35601365
Brooklyn/Curtis Bay/Hawkins Point,-76.58882161,39.22978326
Cedonia/Frankford,-76.55070945,39.31890255
North Baltimore/Guilford/Homeland,-76.61033562,39.3332789
Cross-Country/Cheswolde,-76.68869712,39.36488011
Belair-Edison,-76.5741808,39.32044733
Allendale/Irvington/S. Hilton,-76.68763296,39.2837919
Allendale/Irvington/S. Hilton,-76.68113251,39.28405947
Oldtown/Middle East,-76.58555356,39.29541721
Howard Park/West Arlington,-76.68479385,39.35084783
Pimlico/Arlington/Hilltop,-76.68479385,39.35084783
Inner Harbor/Federal Hill,-76.60135393,39.28296271
Greater Mondawmin,-76.65197772,39.31065756
Fells Point,-76.59253414,39.28922395
Penn North/Reservoir Hill,-76.62634626,39.31088334
Forest Park/Walbrook,-76.67118782,39.31208528
Edmondson Village,-76.67537412,39.29719188
Cherry Hill,-76.62378224,39.25326662
Allendale/Irvington/S. Hilton,-76.67374861,39.29133349
Westport/Mount Winans/Lakeland,-76.65404011,39.2537364
Downtown/Seton Hill,-76.62476781,39.29541627
Brooklyn/Curtis Bay/Hawkins Point,-76.58699532,39.22645447
Washington Village/Pigtown,-76.63310935,39.28083355
