PoliceDistrict,CrimeCount
NORTHEAST,5870
SOUTHEAST,5715
CENTRAL,5048
SOUTHWEST,4710
SOUTHERN,4411
NORTHWEST,4119
NORTHERN,4088
EASTERN,3689
WESTERN,3244
UNKNOWN,58
,4
922,1
111,1
